Pintle,values,units
Entrance diameter,0.44,in
Inner Diameter,0.26,in
Outer Diameter,0.6499999999999999,in
Number of Orifices,12, 
 , , 
Pintle Version,Working Fluid
pintle V3,water
 , , 
Annulus,values,units
Entrance diameter,0.24999999999999997,in
Channel Width,0.24999999999999997,in
Channel Depth,0.21000000000000002,in
Chamber Diameter,0.865,in
 , , 
Annulus Version,Working Fluid
Annulus V3,water
 , , 
Pintle Loss coeff,pintle exit dia (in),pintle exit dia (m),Pressure PSI,Pressure kPa,Exit Velocity m/s,corrected exit velocity,momentum raio orifice,Blockage Factor
6.97987612,0.13,0.00330200995886,107.883661911,743.831858276,14.6013725501,19.1721948,0.982319154492,0.763943726841
7.3266729,0.135,0.0034290103419,97.3762627854,671.385872676,13.5398187159,18.6052167,0.992704801614,0.793326177873
7.7586624,0.14,0.00355601072493,89.1571312607,614.716940911,12.5899589845,18.0168432,1.0074305971,0.822708628906
8.46998735,0.145,0.00368301110796,84.5847610137,583.191549602,11.7366561758,17.4070743,1.02561755126,0.852091079938
9.277075,0.15,0.00381001149099,80.8960665556,557.758889969,10.9672531599,16.77591,1.04663366517,0.88147353097
10.17992535,0.155,0.00393701187403,77.8572705318,536.80712347,10.2711007741,16.1233503,1.07001171294,0.910855982003
11.1785384,0.16,0.00406401225706,75.2985245138,519.165186113,9.63918734753,15.4493952,1.09539785239,0.940238433035
12.27291415,0.165,0.00419101264009,73.0959463705,503.978940444,9.06384558666,14.7540447,1.12251837032,0.969620884068
13.4630526,0.17,0.00431801302313,71.1589008033,490.623477918,8.53851889608,14.0372988,1.15115751005,0.9990033351
14.74895375,0.175,0.00444501340616,69.4209244716,478.640549813,8.0575737501,13.2991575,1.18114229842,1.02838578613
16.1306176,0.18,0.00457201378919,67.8332068638,467.693619409,7.61614802768,12.5396208,1.21233192243,1.05776823716
 , , 
Annulus Loss coeff,Annulus OD (in),OD (m),Pressure PSI,Pressure kPa,Exit Velocity m/s,momentum raio orifice,gap (in),gap (m)
1.7379145,0.7,0.0177800536246,107.766110569,743.02137009,29.2460084263,0.982319154492,0.025,0.000635001915166
1.75635579,0.705,0.0179070540077,89.3449222317,616.011714414,26.4891723418,0.992704801614,0.0275,0.000698502106682
1.77837101,0.71,0.0180340543907,75.4576716675,520.262467396,24.1924702056,1.0074305971,0.03,0.000762002298199
1.80396016,0.715,0.0181610547737,64.743514961,446.390938087,22.2497105525,1.02561755126,0.0325,0.000825502489716
1.83312324,0.72,0.0182880551568,56.3139248335,388.270944958,20.5850424273,1.04663366517,0.035,0.000889002681232
1.86586025,0.725,0.0184150555398,49.5692716191,341.768185921,19.142841879,1.07001171294,0.0375,0.000952502872749
1.90217119,0.73,0.0185420559228,44.0933200456,304.012819051,17.8813910215,1.09539785239,0.04,0.00101600306427
1.94205606,0.735,0.0186690563059,39.5900191485,272.96364427,16.7687880125,1.12251837032,0.0425,0.00107950325578
1.98551486,0.74,0.0187960566889,35.8442807421,247.137680356,15.7802203739,1.15115751005,0.045,0.0011430034473
2.03254759,0.745,0.0189230570719,32.696889903,225.437178768,14.8960993682,1.18114229842,0.0475,0.00120650363881
2.08315425,0.75,0.019050057455,30.0280206263,207.035968071,14.1007540627,1.21233192243,0.05,0.00127000383033
