Pintle,values,units
Entrance diameter,0.44,in
Inner Diameter,0.22100000000000003,in
Outer Diameter,0.421,in
Exit Diameter,0.0595,in
Number of Orifices,12, 
Blockage Factor,0.539841469679873,
 , , 
Pintle Version,Estimated Loss coef,Working Fluid,T intensity,T lenght Scale mm
pintle V3,2.516552992823754,water,0.12247448713915891,4.246892808628711
 , , 
Mass Flowrate kg/s,Pressure PSI,Pressure kPa,Dynamic Pressure in psi,Velocity Length Scale m/s,Entrance Velocity m/s,Exit Velocity m/s,Entrance Reynolds,Exit Reynolds,Exit Weber,momentum raio orifice,momentum raito total
0.16,10.085026371141277,69.53382721279556,0.1929703600512923,0.16314922055986059,1.6314922055986059,7.434900807473344,13946.550725921006,8594.513052388293,1159.9507375998026,0.7203629693427597,1.4100711969801503
0.19,14.22146296867969,98.0535610305437,0.2721183592910802,0.19373969941483446,1.9373969941483444,8.828944708874596,16561.528987031194,10205.984249711099,1635.7117823184717,0.8844167486041511,1.7311975162623372
0.22,19.067002982938973,131.46239207419157,0.3648345869719746,0.2243301782698083,2.243301782698083,10.222988610275848,19176.507248141384,11817.455447033904,2193.031863274627,0.8274749284526982,1.6197370110500222
0.25,24.62164641391913,169.76032034373912,0.47111904309397545,0.2549206571247822,2.549206571247822,11.6170325116771,21791.48550925157,13428.926644356712,2831.910980468269,0.7854662216768015,1.53750726026047
0.28,30.88539326162016,212.94734583918637,0.5909717276570828,0.2855111359797561,2.8551113597975606,13.011076413078353,24406.463770361763,15040.397841679514,3552.3491338993963,0.7095711672693903,1.388946833409584
0.31,37.85824352604205,261.0234685605333,0.7243926406612966,0.3161016148347299,3.161016148347299,14.405120314479603,27021.442031471946,16651.86903900232,4354.346323568009,0.688915183908335,1.3485138733293354
0.33,42.900756711612686,295.79038216693107,0.8208778206869429,0.33649526740471253,3.364952674047125,15.334482915413773,28764.760872212075,17726.18317055086,4934.321692367911,0.7134860352474794,1.3966099738135394
0.36,51.0554460039027,352.0150002647774,0.9769124477596675,0.3670857462596864,3.6708574625968633,16.728526816815023,31379.739133322262,19337.65436787366,5872.250609099,0.695308794047059,1.3610290162295329
0.39,59.919238712913604,413.12871558852356,1.1465153032734987,0.3976762251146602,3.976762251146602,18.122570718216277,33994.71739443245,20949.125565196468,6891.73856206758,0.6801112464413929,1.331280646233451
0.42,69.49213483864536,479.1315281381693,1.3296863872284364,0.42826670396963407,4.28266703969634,19.516614619617528,36609.69565554264,22560.59676251927,7992.7855512736405,0.6672184346040912,1.306043670717552
0.45,79.774134381098,550.0234379137148,1.52642569962448,0.4588571828246079,4.588571828246079,20.91065852101878,39224.67391665283,24172.067959842076,9175.391576717191,0.656144461974204,1.284366973682726
0.48,90.76523734027148,625.8044449151598,1.7367332404616307,0.48944766167958176,4.894476616795817,22.304702422420032,41839.65217776301,25783.53915716488,10439.556638398224,0.6465307536483496,1.265548664325675
 , , 
Annulus,values,units
Entrance diameter,0.24999999999999997,in
Channel Width,0.24999999999999997,in
Channel Depth,0.21000000000000002,in
Chamber Diameter,0.865,in
Annulus Outer Diameter,0.46875,in
Annular Gap,0.023875,in
 , , 
Annulus Version,Estimated Loss coef,Working Fluid,T intensity,T lenght Scale mm
Annulus V3,1.8587893839437477,water,0.12247448713915891,2.4130072776299496
 , , 
Mass Flowrate kg/s,Pressure PSI,Pressure kPa,Dynamic Pressure in psi,Velocity Length Scale m/s,Entrance Velocity m/s,Exit Velocity m/s,Entrance Reynolds,Exit Reynolds,Exit Weber,momentum raio orifice,momentum raito total
0.19,10.50306342217421,72.41609196901364,0.2901122087780863,0.20004269763579702,2.00042697635797,8.828412194545367,9716.097005724965,8190.022764027785,656.2673623230279,0.7203629693427597,1.4100711969801503
0.25,18.18397406886117,125.37412044496821,0.5022718296019502,0.263214075836575,2.6321407583657503,11.616331834928115,12784.338165427587,10776.345742141822,1136.19695693045,0.8844167486041511,1.7311975162623372
0.28,22.809977071979453,157.26929668616816,0.6300497830526866,0.2947997649369641,2.9479976493696407,13.01029165511949,14318.458745278896,12069.507231198844,1425.2454627735565,0.8274749284526982,1.6197370110500222
0.31,27.959678528280925,192.7752475961831,0.7722931651959586,0.32638545403735303,3.26385454037353,14.404251475310861,15852.579325130204,13362.668720255862,1747.0164409762597,0.7854662216768015,1.53750726026047
0.33,31.6837564175837,218.45186746331265,0.8751584358984379,0.3474425801042791,3.4744258010427904,15.333558022105112,16875.326378364414,14224.77637962721,1979.7095777556162,0.7095711672693903,1.388946833409584
0.36,37.70628862919052,259.9757761546861,1.0415108658626038,0.37902826920466803,3.7902826920466803,16.727517842296486,18409.44695821572,15517.937868684228,2356.018009890981,0.688915183908335,1.3485138733293354
0.39,44.252519293980534,305.11045951487466,1.2223287245193057,0.41061395830505704,4.10613958305057,18.12147766248786,19943.56753806703,16811.099357741245,2765.048914385943,0.7134860352474794,1.3966099738135394
0.42,51.32244841195376,353.85591754387826,1.4176120118685442,0.4421996474054461,4.421996474054461,19.515437482679232,21477.688117918347,18104.26084679826,3206.8022912405017,0.695308794047059,1.3610290162295329
0.45,58.91607598311017,406.2121502416969,1.6273607279103188,0.4737853365058351,4.737853365058351,20.909397302870605,23011.808697769655,19397.42233585528,3681.278140454657,0.6801112464413929,1.331280646233451
0.48,67.0334020074498,462.17915760833074,1.851574872644629,0.505371025606224,5.0537102560622404,22.30335712306198,24545.929277620966,20690.5838249123,4188.4764620284095,0.6672184346040912,1.306043670717552
0.51,75.67442648497263,521.7569396437798,2.090254446071476,0.5369567147066131,5.369567147066131,23.697316943253355,26080.049857472273,21983.74531396932,4728.3972559617605,0.656144461974204,1.284366973682726
0.54,84.83914941567865,584.9454963480437,2.343399448190859,0.5685424038070022,5.685424038070021,25.09127676344473,27614.17043732359,23276.906803026337,5301.040522254707,0.6465307536483496,1.265548664325675
