Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
C3;C5,.01uF,Capacitors_SMD:C_0402,2,Samsung,CL05B103KB5NNNC,Digikey,1276-1028-1-ND
C8,.1uF,Capacitors_SMD:C_0402,1,Samsung,CL05B104KO54PNC,Digikey,1276-6995-1-ND
C1;C2;C6;C7,10uF,Capacitors_SMD:C_0603_HandSoldering,4,Samsung,CL10B106MQ8NRNC,Digikey,1276-1948-1-ND
C4,1uF,Capacitors_SMD:C_0603_HandSoldering,1,Samsung,CL10B105KP8NNNC,Digikey,1276-1946-1-ND
C9,2.2uF,Capacitors_SMD:C_0805_HandSoldering,1,TDK,C2012X7R1C225K125AB,Digikey,445-1420-1-ND
U1,LTC3260,MSOP-16_MSE,1,Linear Tech,LTC3260EMSE#PBF,Digikey,LTC3260EMSE#PBF-ND
R3,200K,Resistors_SMD:R_0805_HandSoldering,1,Rohm,KTR10EZPF2003,Digikey,RHM200KAHCT-ND
R2;R5,221K,Resistors_SMD:R_0805_HandSoldering,2,Panasonic,ERA-6AEB2213V,Digikey,P221KDACT-ND
R1;R4,30.1K,Resistors_SMD:R_0805_HandSoldering,2,Panasonic,ERA-6AEB3012V,Digikey,P30.1KDACT-ND
U2,LM78L05ACZ_NOPB,digikey-footprints:TO-92-3,1,Texas Instruments,LM78L05ACZ/NOPB,Digikey,LM78L05ACZNS/NOPB-ND
,,,,,,,
C42,.1uF,Capacitors_SMD:C_0402,1,Samsung,CL05B104KO54PNC,Digikey,1276-6995-1-ND
R49;R51;R53;R59,178,Resistors_SMD:R_0402,4,Panasonic,ERA-2AEB1780X,Digikey,P178DCCT-ND
R43,1.3K,Resistors_SMD:R_0603_HandSoldering,1,Panasonic,ERA-3APB132V,Digikey,P1.3KAYCT-ND
R44;R45;R46;R47;R48;R50;R52;R58;R56;R54;R55;R57,0,Resistors_SMD:R_0805_HandSoldering,12,-,ERJ-6GEY0R00V,Digikey,P0.0ACT-ND
R42,4.75K,Resistors_SMD:R_0805_HandSoldering,1,Susumu,RG2012P-4751-B-T5,Digikey,RG20P4.75KBCT-ND
U11,MCP3424T-E/ST,SOP65P640X120-14N,1,Microchip,-,Digikey,MCP3424T-E/STCT-ND
,,,,,,,
C22;C21;C20;C19;C18;C17;C15;C16;C3;C5,.01uF,Capacitors_SMD:C_0402,10,Samsung,CL05B103KB5NNNC,Digikey,1276-1028-1-ND
C27;C26;C30;C25;C29;C24;C28;C31;C32;C33;C38;C41;C39;C42;C8,.1uF,Capacitors_SMD:C_0402,15,Samsung,CL05B104KO54PNC,Digikey,1276-6995-1-ND
C10;C23;C40;C1;C2;C6;C7,10uF,Capacitors_SMD:C_0603_HandSoldering,7,Samsung,CL10B106MQ8NRNC,Digikey,1276-1948-1-ND
C14;C13;C12;C11;C37;C36;C35;C34;C4,1uF,Capacitors_SMD:C_0603_HandSoldering,9,Samsung,CL10B105KP8NNNC,Digikey,1276-1946-1-ND
P1,CONN_02X13,Pin_Headers:Pin_Header_Straight_1x13,1,-,-,-,-
R37,2.55K,Resistors_SMD:R_0402,1,Panasonic,ERA-2ARC2551X,Digikey,P18212CT-ND
R18;R19;R20;R21,10K,Resistors_SMD:R_0603_HandSoldering,4,Panasonic,ERA-3ARB103V,Digikey,P10KBDCT-ND
R36,11.1K,Resistors_SMD:R_0603_HandSoldering,1,Stackpole Electronics,RNCF0603BTE11K1,Digikey,RNCF0603BTE11K1CT-ND
R34,5.17K,Resistors_SMD:R_0603_HandSoldering,1,Yageo,RT0603DRE075K17L,Digikey,311-2631-1-ND
R38;R40;R41;R39;R44;R45;R46;R47;R48;R50;R52;R58;R56;R54;R55;R57,0,Resistors_SMD:R_0805_HandSoldering,16,-,ERJ-6GEY0R00V,Digikey,P0.0ACT-ND
R35,10.2K,Resistors_SMD:R_0805_HandSoldering,1,TE Connectivity,RN73C2A10K2BTDF,Digikey,A103283TR-ND
R6;R7;R8;R9,1M,Resistors_SMD:R_0805_HandSoldering,4,TE Connectivity,CRGH0805F1M0,DIgikey,A126423CT-ND
R22;R23;R24;R25,3.32K,Resistors_SMD:R_0805_HandSoldering,4,Susumu,RR1220P-3321-D-M,Digikey,RR12P3.32KDCT-ND
R10;R30;R11;R12;R13;R14;R15;R16;R17;R31;R32;R33,100,Resistors_SMD:R_1206,12,Rohm,LTR18EZPF1000,Digikey,RHM100YCT-ND
R26;R27;R28;R29,5K,Resistors_SMD:R_1206,4,Yageo,RT1206BRD075KL,Digikey,YAG5090CT-ND
U3;U4;U5;U6,AD8495,SOP65P490X110-8N,4,Analog Devices,AD8495ARMZ,Mouser,584-AD8495ARMZ
U9,MCP3424T-E/ST,SOP65P640X120-14N,1,-,-,Digikey,MCP3424T-E/STCT-ND
U10,LM358DR,digikey-footprints:SOIC-8_W3.9mm,1,Texas Instruments,LM358DR,Digikey,296-1014-1-ND
J1,CONN D-SUB RCPT 25POS R/A SOLDER,snapEda:TE_Conn_5747846_4_DB25,1,TE Connectivity,5747846-4,Digikey,A32126-ND
U7,ADA4062,snapEda:ADA4062-4ARUZ,1,Analog Devices,ADA4062-4ARUZ,Digikey,ADA4062-4ARUZ-ND
