Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field7, Field8, Digi-Key_PN, MPN, Category, Family, DK_Datasheet_Link, DK_Detail_Page, Description, Manufacturer, Status, Mouser_PN
"P1","CONN_02X13","",""
"P2","CONN_01X16","",""
"U1","LTC3260MPMSEPBF","MSOP-16_MSE","LTC3260MPMSE#PBF","Unavailable","LTC3260 - Low Noise Dual Supply Inverting Charge Pump","MSOP-16 Linear Technology","Linear Technology","14.91 USD","","","","","","","","","",""
"C6","10uF","",""
"C2","10uF","",""
"R3","200K","",""
"R5","221K","",""
"R4","30.1K","",""
"R2","221K","",""
"R1","30.1K","",""
"C1","10uF","",""
"C7","10uF","",""
"C4","1uF","",""
"C3","10nF","",""
"C5","10nF","",""
"U2","LM78L05ACZ_NOPB","digikey-footprints:TO-92-3","http://www.ti.com/lit/ds/symlink/lm78l.pdf","","","","","","LM78L05ACZNS/NOPB-ND","LM78L05ACZ/NOPB","Integrated Circuits (ICs)","PMIC - Voltage Regulators - Linear","http://www.ti.com/lit/ds/symlink/lm78l.pdf","/product-detail/en/texas-instruments/LM78L05ACZ-NOPB/LM78L05ACZNS-NOPB-ND/6333","IC REG LINEAR 5V 100MA TO92-3","Texas Instruments","Active",""
"C8",".1uF","",""
"C9","2.2uF","",""
"U3","AD8495","SOP65P490X110-8N","Good","4.77 USD","AD8494ARMZ","Sensor and Detector Interface 36V 8-Pin MSOP Tube","MSOP-8 Analog Devices","Analog Devices","","","","","","","","","",""
"U8","MCP3424T-E/ST","SOP65P640X120-14N","MCP3424T-E/ST","ADC Single Delta-Sigma 3.75sps 18-bit Serial 14-Pin TSSOP T/R","Good","3.44 USD","TSSOP-14 Microchip","Microchip","","","","","","","","","",""
"R10","100","",""
"R11","100","",""
"R6","1M","",""
"R22","3.32K","",""
"R26","5K","",""
"R18","10K","",""
"R30","100","",""
"U9","LM358DR","digikey-footprints:SOIC-8_W3.9mm","http://www.ti.com/lit/ds/symlink/lm358.pdf","","","","","","296-1014-1-ND","LM358DR","Integrated Circuits (ICs)","Linear - Amplifiers - Instrumentation, OP Amps, Buffer Amps","http://www.ti.com/lit/ds/symlink/lm358.pdf","/product-detail/en/texas-instruments/LM358DR/296-1014-1-ND/404838","IC OPAMP GP 700KHZ 8SOIC","Texas Instruments","Active",""
"R36","11.1K","",""
"R37","2.55K","",""
"C36",".1uF","",""
"C24",".1uF","",""
"C32","1uF","",""
"C11","1uF","",""
"C15",".01uF","",""
"C28",".1uF","",""
"C10","10uF","",""
"C16",".01uF","",""
"U7","ADA4062","digikey-footprints:DIP-8_W7.62mmxxx","https://www.mouser.com/datasheet/2/609/ADA4062-2_4062-4-541067.pdf","","","","","","","ADA4062-4ARUZ-RL","Integrated Circuits (ICs)","Linear - Amplifiers - Instrumentation, OP Amps, Buffer Amps","https://www.fairchildsemi.com/datasheets/LM/LM258A.pdf","/product-detail/en/on-semiconductor/LM358AN/LM358ANFS-ND/458690","IC OPAMP GP 14TSSOP","Analog Devices","Active","584-ADA4062-4ARUZ-R"
"C23","10uF","",""
"R35","10.2K","",""
"R34","5.17K","",""
"C37",".1uF","",""
"U4","AD8495","SOP65P490X110-8N","Good","4.77 USD","AD8494ARMZ","Sensor and Detector Interface 36V 8-Pin MSOP Tube","MSOP-8 Analog Devices","Analog Devices","","","","","","","","","",""
"R12","100","",""
"R13","100","",""
"R7","1M","",""
"R23","3.32K","",""
"R27","5K","",""
"R19","10K","",""
"R31","100","",""
"C25",".1uF","",""
"C33","1uF","",""
"C12","1uF","",""
"C17",".01uF","",""
"C29",".1uF","",""
"C18",".01uF","",""
"U5","AD8495","SOP65P490X110-8N","Good","4.77 USD","AD8494ARMZ","Sensor and Detector Interface 36V 8-Pin MSOP Tube","MSOP-8 Analog Devices","Analog Devices","","","","","","","","","",""
"R14","100","",""
"R15","100","",""
"R8","1M","",""
"R24","3.32K","",""
"R28","5K","",""
"R20","10K","",""
"R32","100","",""
"C26",".1uF","",""
"C34","1uF","",""
"C13","1uF","",""
"C19",".01uF","",""
"C30",".1uF","",""
"C20",".01uF","",""
"U6","AD8495","SOP65P490X110-8N","Good","4.77 USD","AD8494ARMZ","Sensor and Detector Interface 36V 8-Pin MSOP Tube","MSOP-8 Analog Devices","Analog Devices","","","","","","","","","",""
"R16","100","",""
"R17","100","",""
"R9","1M","",""
"R25","3.32K","",""
"R29","5K","",""
"R21","10K","",""
"R33","100","",""
"C27",".1uF","",""
"C35","1uF","",""
"C14","1uF","",""
"C21",".01uF","",""
"C31",".1uF","",""
"C22",".01uF","",""
"R39","0","",""
"R38","0","",""
"R41","0","",""
"R40","0","",""
"U10","MCP3424T-E/ST","SOP65P640X120-14N","MCP3424T-E/ST","ADC Single Delta-Sigma 3.75sps 18-bit Serial 14-Pin TSSOP T/R","Good","3.44 USD","TSSOP-14 Microchip","Microchip","","","","","","","","","",""
"R48","0","",""
"R49","178","",""
"R50","0","",""
"R51","178","",""
"R52","0","",""
"R53","178","",""
"R58","0","",""
"R59","178","",""
"R44","0","",""
"R45","0","",""
"R46","0","",""
"R47","0","",""
"R42","4.75K","",""
"R43","1.29K","",""
"R55","0","",""
"R54","0","",""
"R57","0","",""
"R56","0","",""
