 timestamp, timer, flow_rate_crossings, pressure_1, pressure_2, pressure_3, pressure_4, pressure_5,,
 4:12:35 PM,0.05,1,3373,3120,2971,2896,2792,,
 4:12:36 PM,0.12,0,3318,3129,2953,2866,2403,,
 4:12:36 PM,0.22,0,2960,2968,2868,2815,2219,,
 4:12:36 PM,0.31,0,2407,2408,2416,2390,1861,,
 4:12:36 PM,0.42,0,2295,2355,2426,2391,1793,,
 4:12:36 PM,0.52,0,2227,2323,2444,2432,1796,,
 4:12:36 PM,0.62,0,2076,2129,2204,2203,1655,,
 4:12:36 PM,0.72,0,1953,2036,2105,2097,1567,,
 4:12:36 PM,0.82,0,1944,2032,2093,2084,1553,,
 4:12:36 PM,0.92,0,1909,2000,2056,2051,1533,,
 4:12:36 PM,1.02,0,1906,2003,2054,2040,1524,,
 4:12:37 PM,1.11,0,1893,1989,2036,2024,1512,,
 4:12:37 PM,1.21,0,1840,1939,1984,1974,1480,,
 4:12:37 PM,1.32,0,1844,1950,1994,1978,1480,,
 4:12:37 PM,1.41,0,1817,1925,1971,1957,1466,,
 4:12:37 PM,1.51,0,1817,1928,1974,1956,1466,,
 4:12:37 PM,1.62,0,1813,1922,1967,1950,1461,,
 4:12:37 PM,1.72,0,1814,1925,1970,1952,1463,,
 4:12:37 PM,1.82,0,1819,1930,1977,1958,1466,,
 4:12:37 PM,1.91,0,1824,1935,1979,1960,1467,,
 4:12:37 PM,2.02,0,1820,1927,1971,1951,1464,,
 4:12:38 PM,2.11,0,1821,1932,1976,1957,1466,,
 4:12:38 PM,2.22,0,1817,1930,1976,1957,1466,,
 4:12:38 PM,2.32,0,1817,1928,1973,1954,1465,,
 4:12:38 PM,2.41,0,1814,1923,1965,1945,1459,,
 4:12:38 PM,2.52,0,1809,1918,1959,1940,1455,,
 4:12:38 PM,2.61,0,1805,1916,1956,1936,1452,,
 4:12:38 PM,2.70,0,1806,1916,1957,1938,1453,,
 4:12:38 PM,2.82,0,1805,1917,1958,1938,1453,,
 4:12:38 PM,2.91,0,1805,1917,1960,1939,1452,,
 4:12:38 PM,3.02,0,1802,1913,1956,1935,1451,,
 4:12:39 PM,3.11,0,1803,1913,1956,1936,1451,,
 4:12:39 PM,3.21,0,1798,1910,1951,1931,1448,,
